muni;houseval;popdens;noleft;minorityleft;governing;safety;education;recreation;social;urbanplanning;tot
's-Gravendeel;1.280;0.4720;0;0;0.148322;0.183883;0.084172;0.142743;0.153103;0.287778;1.003900
's-Gravenhage;1.020;5.7110;0;1;0.039857;0.101663;0.107856;0.098048;0.417928;0.234647;184.831406
's-Hertogenbosch;1.430;1.5830;0;1;;;;;;;0.000000
Aa en Hunze;1.410;0.0910;0;1;0.041140;0.175034;0.270752;0.136445;0.222031;0.154598;4.115200
Aalburg;1.590;0.2410;1;0;0.096757;0.227346;0.182971;0.096757;0.170559;0.225611;1.498600
Aalsmeer;1.890;1.1280;1;0;0.044176;0.100137;0.037060;0.070466;0.116156;0.632005;6.211500
Aalten;1.370;0.2840;0;1;;;;;;;0.000000
Abcoude;2.380;0.2830;0;0;0.169698;0.214318;0.153839;0.080817;0.180091;0.201236;1.116100
Achtkarspelen;1.010;0.2740;0;1;0.088588;0.139275;0.079194;0.101758;0.418745;0.172440;5.216300
Alblasserdam;1.200;2.0890;1;0;0.045430;0.119375;0.057545;0.081589;0.182133;0.513928;4.853600
Albrandswaard;1.570;0.9290;0;1;0.106340;0.159859;0.083224;0.076607;0.206036;0.367933;3.581900
Alkemade;1.810;0.5380;0;1;0.106358;0.194029;0.060862;0.087671;0.192829;0.358250;2.167200
Alkmaar;1.170;3.1950;0;1;0.048378;0.101907;0.142648;0.123154;0.303279;0.280635;25.623301
Almelo;0.970;1.0720;0;0;0.053535;0.118952;0.080936;0.073344;0.340948;0.332286;20.652100
Almere;1.230;1.3410;0;0;0.045048;0.081418;0.253459;0.042120;0.245548;0.332407;50.574699
Alphen aan den Rijn;1.350;1.2820;0;1;0.093528;0.208173;0.072793;0.095390;0.298281;0.231834;11.550500
Alphen-Chaam;2.040;0.1020;1;0;0.112991;0.222337;0.045664;0.114916;0.186782;0.317310;1.454100
Ambt Montfort;1.500;0.2470;1;0;0.135121;0.227588;0.045547;0.139459;0.257591;0.194693;1.383200
Ameland;1.220;0.0590;0;0;0.117613;0.205211;0.199165;0.169798;0.085367;0.222846;1.389300
Amerongen;1.760;0.2470;0;0;0.222137;0.218309;0.065186;0.135623;0.219731;0.139013;0.914300
Amersfoort;1.490;2.1450;0;1;0.035681;0.139782;0.143626;0.094713;0.310270;0.275927;30.049601
Amstelveen;1.760;1.9020;0;0;0.069756;0.203754;0.070340;0.171797;0.277387;0.206967;13.693500
Amsterdam;1.340;4.5020;0;0;0.037773;0.103338;0.084237;0.066546;0.306461;0.401644;473.206604
Andijk;1.270;0.3030;1;0;0.121333;0.198886;0.061406;0.197294;0.228792;0.192290;0.879400
Anna Paulowna;1.310;0.1880;1;0;0.146581;0.177180;0.058491;0.133577;0.269919;0.214252;1.699400
Apeldoorn;1.460;0.4590;0;1;0.040556;0.114079;0.067065;0.116808;0.341361;0.320132;44.519199
Appingedam;0.760;0.5220;0;0;0.060970;0.144483;0.149350;0.108435;0.377603;0.159158;2.732500
Arcen en Velden;1.560;0.2240;0;1;0.124439;0.200380;0.034740;0.129761;0.187457;0.323223;1.315500
Arnhem;1.120;1.4380;0;0;0.042731;0.123441;0.115717;0.112348;0.440057;0.165705;45.091000
Assen;0.990;0.7640;0;1;0.064475;0.136107;0.164905;0.098797;0.285088;0.250627;17.941799
Asten;1.920;0.2310;0;1;0.091261;0.201187;0.074560;0.131556;0.281968;0.219468;2.089600
Baarn;1.900;0.7500;1;0;;;;;;;0.000000
Barendrecht;1.590;1.9380;1;0;0.083471;0.178714;0.218078;0.154328;0.175716;0.189693;6.302800
Barneveld;1.880;0.2840;0;1;0.078232;0.220337;0.138423;0.131956;0.224147;0.206906;6.246800
Bedum;1.010;0.2410;0;1;0.056569;0.168554;0.178473;0.140910;0.237090;0.218404;1.562700
Beek;1.470;0.8110;1;0;0.118951;0.213570;0.063021;0.130606;0.300833;0.173019;2.256400
Beemster;1.860;0.1210;0;1;0.148992;0.224888;0.081871;0.114544;0.203977;0.225728;1.071200
Beesel;1.390;0.4730;0;1;0.130329;0.191059;0.060212;0.091588;0.276735;0.250078;1.928200
Bellingwedde;0.950;0.0890;0;0;0.075233;0.156812;0.220688;0.086590;0.311864;0.148814;1.875500
Bennebroek;2.340;2.9400;1;0;0.189323;0.256524;0.086133;0.122463;0.205526;0.140031;0.586300
Bergambacht;1.850;0.2640;1;0;0.126594;0.306224;0.060637;0.116460;0.198970;0.191116;1.184100
Bergeijk;1.950;0.1790;1;0;0.068094;0.197091;0.065780;0.160854;0.297413;0.210768;2.420200
Bergen (L.);1.500;0.1290;0;0;0.242446;0.214953;0.058751;0.112785;0.218583;0.152482;2.204200
Bergen op Zoom;1.130;0.8210;0;1;;0.142444;0.105160;0.143128;0.265096;0.344172;16.819201
Bergschenhoek;1.870;1.0870;0;1;0.100861;0.231154;0.118421;0.152058;0.236842;0.160665;2.021600
Berkel en Rodenrijs;1.580;0.9710;0;1;0.094441;0.186562;0.077756;0.091896;0.163113;0.386233;3.104600
Bernheze;1.780;0.3250;0;1;0.094575;0.185238;0.057003;0.099626;0.211826;0.351732;4.652400
Bernisse;1.440;0.2210;0;0;0.083431;0.215461;0.184107;0.114638;0.151480;0.250882;2.041200
Best;1.700;0.8440;1;0;0.072923;0.145251;0.064543;0.117731;0.217478;0.382073;5.882900
